Location,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Victim_Age,Victim_Sex,Victim_Descent,Premise_Description,Weapon_Used_Code,Status,Status_Description,Crime_Category,is_anomaly
7200 WOODMAN AV,34.2012,-118.4313,2/1/2020 0:00,1/31/2020 0:00,2000,9,Van Nuys,909,1,0,X,X,DRUG STORE,219,AA,Adult Arrest,Property Crimes,1
8TH,34.0445,-118.2558,2/2/2020 0:00,2/1/2020 0:00,1950,1,Central,163,1,20,F,O,SIDEWALK,400,AO,Adult Other,Property Crimes,1
14800 MAGNOLIA BL,34.1649,-118.4553,2/4/2020 0:00,2/4/2020 0:00,530,9,Van Nuys,963,1,0,X,X,GAS STATION,200,IC,Invest Cont,Property Crimes,1
1800 THAYER AV,34.0554,-118.4266,2/6/2020 0:00,2/6/2020 0:00,900,8,West LA,836,1,67,F,O,SINGLE FAMILY DWELLING,500,IC,Invest Cont,Property Crimes,1
1800 S WESTERN AV,34.0418,-118.3134,2/7/2020 0:00,2/7/2020 0:00,2000,20,Olympic,2081,1,0,X,X,DEPARTMENT STORE,400,IC,Invest Cont,Property Crimes,1
1900 W 6TH ST,34.0585,-118.2725,2/8/2020 0:00,2/8/2020 0:00,246,2,Rampart,256,2,0,X,X,RESTAURANT/FAST FOOD,212,IC,Invest Cont,Property Crimes,1
PENROSE ST,34.2276,-118.3737,2/8/2020 0:00,2/8/2020 0:00,200,16,Foothill,1675,1,57,M,O,STREET,500,IC,Invest Cont,Property Crimes,1
1500 LAKME AV,33.7935,-118.2607,2/10/2020 0:00,2/7/2020 0:00,2030,5,Harbor,518,2,16,X,X,HIGH SCHOOL,400,AO,Adult Other,Violent Crimes,1
600 W 76TH ST,33.9727,-118.285,2/12/2020 0:00,2/12/2020 0:00,2000,12,77th Street,1256,2,0,X,X,STREET,511,AO,Adult Other,Crimes against Public Order,1
10000 S VERMONT AV,33.9455,-118.2916,2/13/2020 0:00,2/13/2020 0:00,103,18,Southeast,1821,1,0,X,X,GAS STATION,511,IC,Invest Cont,Property Crimes,1
4500 DON FELIPE DR,34.0067,-118.3532,2/14/2020 0:00,2/14/2020 0:00,1910,3,Southwest,391,1,73,M,A,SINGLE FAMILY DWELLING,113,AA,Adult Arrest,Crimes against Public Order,1
500 S NEW HAMPSHIRE AV,34.0654,-118.2929,2/18/2020 0:00,2/18/2020 0:00,515,20,Olympic,2027,1,0,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,IC,Invest Cont,Property Crimes,1
5400 LINDLEY AV,34.1629,-118.5263,2/18/2020 0:00,2/18/2020 0:00,1,10,West Valley,1075,2,12,M,A,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Crimes against Persons,1
11800 GORHAM AV,34.0528,-118.4676,2/19/2020 0:00,2/19/2020 0:00,2200,8,West LA,832,2,62,F,O,STREET,500,IC,Invest Cont,Violent Crimes,1
9400 W PICO BL,34.0553,-118.3942,2/19/2020 0:00,2/19/2020 0:00,345,8,West LA,857,2,0,X,X,OTHER BUSINESS,400,IC,Invest Cont,Property Crimes,1
11900 DUNNICLIFFE CT,34.2878,-118.5367,2/20/2020 0:00,2/20/2020 0:00,2000,17,Devonshire,1714,1,77,F,O,SINGLE FAMILY DWELLING,500,IC,Invest Cont,Property Crimes,1
4300 LAUREL CANYON BL,34.1478,-118.4071,2/21/2020 0:00,2/21/2020 0:00,1800,15,N Hollywood,1581,1,60,M,A,RESTAURANT/FAST FOOD,113,IC,Invest Cont,Property Crimes,1
800 W 78TH ST,33.9688,-118.2871,2/21/2020 0:00,2/21/2020 0:00,129,12,77th Street,1257,1,0,F,A,SIDEWALK,207,AA,Adult Arrest,Violent Crimes,1
400 E 5TH ST,34.0453,-118.2443,2/22/2020 0:00,2/22/2020 0:00,645,1,Central,147,2,0,X,X,OFFICE BUILDING/OFFICE,400,AO,Adult Other,Property Crimes,1
19900 CANTARA ST,34.2189,-118.5667,2/22/2020 0:00,2/22/2020 0:00,2010,21,Topanga,2129,1,74,M,A,SINGLE FAMILY DWELLING,104,IC,Invest Cont,Property Crimes,1
7TH,34.0562,-118.2762,2/23/2020 0:00,2/23/2020 0:00,1,2,Rampart,246,2,0,X,X,RESTAURANT/FAST FOOD,212,AA,Adult Arrest,Property Crimes,1
1500 S WESTERN AV,34.0454,-118.3134,2/26/2020 0:00,2/25/2020 0:00,2343,20,Olympic,2071,1,0,X,X,DEPARTMENT STORE,400,IC,Invest Cont,Property Crimes,1
23300 AVENUE SAN LUIS,34.1601,-118.6341,2/28/2020 0:00,2/27/2020 0:00,100,21,Topanga,2183,2,65,M,O,RESTAURANT/FAST FOOD,400,IC,Invest Cont,Violent Crimes,1
7800 VAN NUYS BL,34.212,-118.4488,3/1/2020 0:00,3/1/2020 0:00,1332,19,Mission,1998,1,0,X,X,MINI-MART,400,AA,Adult Arrest,Property Crimes,1
7600 S BROADWAY,33.9708,-118.2783,3/1/2020 0:00,3/1/2020 0:00,40,12,77th Street,1258,2,19,X,X,DETENTION/JAIL FACILITY,500,AA,Adult Arrest,Violent Crimes,1
3000 CRENSHAW BL,34.0276,-118.3351,3/1/2020 0:00,3/1/2020 0:00,1025,3,Southwest,334,2,0,X,X,RESTAURANT/FAST FOOD,400,IC,Invest Cont,Property Crimes,1
100 N GAFFEY ST,33.7433,-118.2923,3/1/2020 0:00,3/1/2020 0:00,440,5,Harbor,557,1,0,M,O,OTHER BUSINESS,106,AA,Adult Arrest,Property Crimes,1
FALLBROOK AV,34.166,-118.6233,3/2/2020 0:00,3/1/2020 0:00,2330,21,Topanga,2173,1,24,F,W,STREET,102,IC,Invest Cont,Crimes against Public Order,1
4500 S FIGUEROA ST,33.9997,-118.2849,3/2/2020 0:00,3/2/2020 0:00,2315,12,77th Street,1208,1,20,X,X,STREET,102,AA,Adult Arrest,Violent Crimes,1
9300 TAMPA AV,34.244,-118.5583,3/3/2020 0:00,3/3/2020 0:00,1900,17,Devonshire,1764,1,0,X,X,DEPARTMENT STORE,109,JA,Juv Arrest,Property Crimes,1
12200 EXPOSITION BL,34.0313,-118.4536,3/3/2020 0:00,3/3/2020 0:00,2200,8,West LA,881,2,52,X,X,MTA - EXPO LINE - EXPO/BUNDY,400,JA,Juv Arrest,Violent Crimes,1
1300 N AVALON BL,33.7888,-118.2631,3/4/2020 0:00,3/4/2020 0:00,956,5,Harbor,517,1,0,M,O,OTHER STORE,109,AA,Adult Arrest,Property Crimes,1
12000 S VERMONT AV,33.9237,-118.2915,3/6/2020 0:00,3/6/2020 0:00,1610,18,Southeast,1831,2,0,X,X,STREET,109,IC,Invest Cont,Property Crimes,1
11TH AV,34.0256,-118.3293,3/7/2020 0:00,3/7/2020 0:00,2211,3,Southwest,334,2,19,X,X,STREET,102,IC,Invest Cont,Crimes against Public Order,1
4200 BEVERLY BL,34.0799,-118.3025,3/8/2020 0:00,3/8/2020 0:00,550,20,Olympic,2005,1,0,X,X,OTHER BUSINESS,109,AA,Adult Arrest,Property Crimes,1
3300 MENTONE AV,34.0286,-118.4118,3/9/2020 0:00,3/9/2020 0:00,1950,14,Pacific,1406,2,41,X,X,GARAGE/CARPORT,400,IC,Invest Cont,Violent Crimes,1
8900 COLUMBUS AV,34.2319,-118.4654,3/10/2020 0:00,3/10/2020 0:00,2315,19,Mission,1972,1,54,M,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",204,AO,Adult Other,Violent Crimes,1
1000 S KINGSLEY DR,34.0526,-118.3031,3/11/2020 0:00,1/29/2020 0:00,1400,20,Olympic,2054,2,83,F,A,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",512,IC,Invest Cont,Violent Crimes,1
5TH,34.0442,-118.2439,3/11/2020 0:00,3/11/2020 0:00,255,1,Central,156,2,0,X,X,SIDEWALK,102,IC,Invest Cont,Crimes against Public Order,1
800 W CESAR E CHAVEZ AV,34.0613,-118.2446,3/11/2020 0:00,3/11/2020 0:00,2353,1,Central,111,2,0,X,X,SIDEWALK,102,IC,Invest Cont,Crimes against Public Order,1
104TH ST,33.9415,-118.2436,3/11/2020 0:00,3/11/2020 0:00,258,18,Southeast,1837,1,0,X,X,RESTAURANT/FAST FOOD,311,AA,Adult Arrest,Property Crimes,1
11100 AVALON BL,33.9348,-118.2652,3/12/2020 0:00,3/11/2020 0:00,2150,18,Southeast,1844,1,0,X,X,OTHER BUSINESS,500,IC,Invest Cont,Property Crimes,1
12TH,34.0408,-118.2644,3/12/2020 0:00,3/12/2020 0:00,10,1,Central,182,1,19,M,A,SIDEWALK,400,IC,Invest Cont,Property Crimes,1
WILTON,34.0545,-118.3145,3/14/2020 0:00,3/14/2020 0:00,10,20,Olympic,2062,1,24,M,A,SIDEWALK,102,IC,Invest Cont,Property Crimes,1
1100 GLENDON AV,34.0608,-118.4444,3/14/2020 0:00,3/14/2020 0:00,315,8,West LA,817,2,0,X,X,RESTAURANT/FAST FOOD,310,IC,Invest Cont,Property Crimes,1
800 E 25TH ST,34.0216,-118.2588,3/15/2020 0:00,3/15/2020 0:00,2130,13,Newton,1323,2,0,M,O,STREET,102,IC,Invest Cont,Crimes against Public Order,1
4700 CLINTON ST,34.0817,-118.3046,3/15/2020 0:00,3/15/2020 0:00,1920,20,Olympic,2004,1,0,X,X,STREET,102,AA,Adult Arrest,Property Crimes,1
14600 CHASE ST,34.2248,-118.4512,3/16/2020 0:00,2/24/2020 0:00,1600,19,Mission,1985,1,0,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Property Crimes,1
6900 W MANCHESTER AV,33.9598,-118.4117,3/18/2020 0:00,3/18/2020 0:00,108,14,Pacific,1486,1,0,X,X,GOLF COURSE*,500,IC,Invest Cont,Property Crimes,1
2700 W OLYMPIC BL,34.0526,-118.2916,3/18/2020 0:00,3/18/2020 0:00,1413,20,Olympic,2056,1,0,X,X,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",400,AA,Adult Arrest,Property Crimes,1
14600 FRIAR ST,34.1857,-118.4509,3/19/2020 0:00,3/19/2020 0:00,10,9,Van Nuys,933,1,29,M,O,SINGLE FAMILY DWELLING,104,IC,Invest Cont,Property Crimes,1
2700 POMEROY AV,34.0533,-118.1977,3/19/2020 0:00,3/19/2020 0:00,1415,4,Hollenbeck,449,1,0,X,X,MARKET,113,IC,Invest Cont,Property Crimes,1
3100 S GRAND AV,34.0225,-118.2748,3/22/2020 0:00,3/22/2020 0:00,110,13,Newton,1331,1,0,M,O,STREET,109,IC,Invest Cont,Violent Crimes,1
1300 W 7TH ST,34.0523,-118.2676,3/22/2020 0:00,3/22/2020 0:00,440,2,Rampart,269,1,39,M,O,PARKING UNDERGROUND/BUILDING,500,IC,Invest Cont,Property Crimes,1
OSO,34.2096,-118.5754,3/24/2020 0:00,3/24/2020 0:00,1540,21,Topanga,2128,1,50,F,W,PARKING LOT,109,AA,Adult Arrest,Violent Crimes,1
5500 HOLLYWOOD BL,34.1017,-118.3093,3/25/2020 0:00,3/25/2020 0:00,10,6,Hollywood,648,1,0,X,X,OTHER STORE,400,IC,Invest Cont,Property Crimes,1
600 W 7TH ST,34.0473,-118.2566,3/28/2020 0:00,3/28/2020 0:00,2130,1,Central,162,1,0,X,X,DRUG STORE,113,IC,Invest Cont,Property Crimes,1
SARAH ST,34.154,-118.3801,3/29/2020 0:00,3/29/2020 0:00,30,15,N Hollywood,1563,2,0,F,O,STREET,106,IC,Invest Cont,Crimes against Public Order,1
100 S CENTRAL AV,34.0492,-118.2391,3/30/2020 0:00,3/30/2020 0:00,2256,1,Central,128,1,0,X,X,OTHER BUSINESS,306,AA,Adult Arrest,Property Crimes,1
12600 SHERMAN WY,34.2012,-118.4073,4/1/2020 0:00,3/31/2020 0:00,310,15,N Hollywood,1513,1,0,M,O,RESTAURANT/FAST FOOD,500,IC,Invest Cont,Property Crimes,1
10800 VENICE BL,34.0199,-118.4125,4/3/2020 0:00,4/3/2020 0:00,405,14,Pacific,1438,1,0,X,X,LIQUOR STORE,219,AA,Adult Arrest,Property Crimes,1
4100 S WESTERN AV,34.0091,-118.3089,4/5/2020 0:00,4/5/2020 0:00,515,3,Southwest,395,2,0,X,X,HOTEL,400,AO,Adult Other,Violent Crimes,1
1600 E 108TH ST,33.9378,-118.2462,4/8/2020 0:00,4/8/2020 0:00,1320,18,Southeast,1837,2,0,X,X,ABANDONED BUILDING ABANDONED HOUSE,506,IC,Invest Cont,Property Crimes,1
PARTHENIA ST,34.2282,-118.5976,4/9/2020 0:00,4/8/2020 0:00,1900,21,Topanga,2105,1,46,M,O,SIDEWALK,207,IC,Invest Cont,Property Crimes,1
14500 NORDHOFF ST,34.2354,-118.4481,4/9/2020 0:00,4/9/2020 0:00,1230,19,Mission,1974,1,0,X,X,OTHER STORE,109,IC,Invest Cont,Property Crimes,1
1200 S OLIVE ST,34.0395,-118.2622,4/9/2020 0:00,4/9/2020 0:00,1445,1,Central,182,2,0,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,AA,Adult Arrest,Property Crimes,1
LONG BEACH,33.9994,-118.2431,4/11/2020 0:00,4/11/2020 0:00,1750,13,Newton,1367,2,0,X,X,STREET,109,IC,Invest Cont,Crimes against Public Order,1
10800 S VERMONT AV,33.9382,-118.2916,4/12/2020 0:00,4/12/2020 0:00,1425,18,Southeast,1841,2,50,X,X,LAUNDROMAT,308,IC,Invest Cont,Property Crimes,1
15700 VOSE ST,34.1985,-118.4749,4/12/2020 0:00,4/12/2020 0:00,2040,10,West Valley,1029,2,0,M,O,STREET,102,IC,Invest Cont,Crimes against Public Order,1
700 S ORANGE DR,34.0622,-118.3418,4/13/2020 0:00,4/12/2020 0:00,2326,7,Wilshire,737,1,65,M,O,SINGLE FAMILY DWELLING,101,IC,Invest Cont,Property Crimes,1
1200 S FLOWER ST,34.0415,-118.2654,4/14/2020 0:00,4/14/2020 0:00,2130,1,Central,182,1,66,M,O,MTA - BLUE LINE - PICO,200,IC,Invest Cont,Crimes against Public Order,1
10300 ZELZAH AV,34.2576,-118.5233,4/14/2020 0:00,4/14/2020 0:00,40,17,Devonshire,1745,2,23,M,O,SINGLE FAMILY DWELLING,400,JO,Juv Other,Violent Crimes,1
900 S NORMANDIE AV,34.0533,-118.3003,4/16/2022 0:00,1/1/2020 0:00,1,20,Olympic,2054,1,45,F,O,PARKING LOT,201,AO,Adult Other,Violent Crimes,1
2100 E 115TH ST,33.9305,-118.2349,4/17/2020 0:00,4/17/2020 0:00,2030,18,Southeast,1849,1,0,X,X,SIDEWALK,500,IC,Invest Cont,Violent Crimes,1
18400 ROSCOE BL,34.2251,-118.5372,4/17/2020 0:00,4/17/2020 0:00,1925,17,Devonshire,1794,1,0,X,X,OTHER BUSINESS,400,IC,Invest Cont,Property Crimes,1
SEPULVEDA,34.1939,-118.4662,4/19/2020 0:00,4/18/2020 0:00,2240,9,Van Nuys,911,1,0,M,O,MINI-MART,308,AA,Adult Arrest,Violent Crimes,1
800 S HARVARD BL,34.0581,-118.3066,4/22/2020 0:00,4/22/2020 0:00,2015,20,Olympic,2033,1,32,F,A,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",109,AA,Adult Arrest,Violent Crimes,1
3400 W 6TH ST,34.0636,-118.2954,4/22/2020 0:00,4/22/2020 0:00,1420,20,Olympic,2027,1,0,X,X,OTHER BUSINESS,400,AA,Adult Arrest,Property Crimes,1
7500 WINNETKA AV,34.2059,-118.571,4/23/2020 0:00,4/23/2020 0:00,24,21,Topanga,2139,1,26,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200,AA,Adult Arrest,Violent Crimes,1
500 N KINGSLEY DR,34.0799,-118.3034,4/25/2020 0:00,4/25/2020 0:00,320,20,Olympic,2005,1,0,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Property Crimes,1
4000 NICOLET AV,34.0171,-118.3531,4/28/2020 0:00,4/28/2020 0:00,2145,3,Southwest,361,1,64,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",109,IC,Invest Cont,Crimes against Public Order,1
VENTURA BL,34.1639,-118.5228,4/29/2020 0:00,4/28/2020 0:00,2340,10,West Valley,1065,1,35,M,O,PARKING LOT,102,IC,Invest Cont,Crimes against Public Order,1
300 E 2ND ST,34.0498,-118.24,4/29/2020 0:00,4/29/2020 0:00,810,1,Central,128,2,0,X,X,OTHER/OUTSIDE,500,IC,Invest Cont,Property Crimes,1
9300 RESEDA BL,34.2391,-118.5361,5/2/2020 0:00,5/2/2020 0:00,240,17,Devonshire,1767,1,0,X,X,OTHER BUSINESS,500,IC,Invest Cont,Property Crimes,1
700 LINCOLN BL,33.9997,-118.4645,5/5/2020 0:00,5/5/2020 0:00,410,14,Pacific,1415,1,0,X,X,MEDICAL MARIJUANA FACILITIES/BUSINESSES,311,IC,Invest Cont,Property Crimes,1
BEACON,33.7342,-118.2805,5/8/2020 0:00,5/8/2020 0:00,830,5,Harbor,566,2,0,X,X,SIDEWALK,500,IC,Invest Cont,Violent Crimes,1
7200 CRENSHAW BL,33.9745,-118.3309,5/10/2020 0:00,5/10/2020 0:00,5,12,77th Street,1251,2,0,X,X,STREET,106,IC,Invest Cont,Crimes against Public Order,1
800 N ALAMEDA ST,34.0561,-118.2375,5/13/2020 0:00,5/13/2020 0:00,720,1,Central,119,2,0,X,X,MTA - RED LINE - UNION STATION,400,AA,Adult Arrest,Violent Crimes,1
7000 W SUNSET BL,34.098,-118.3416,5/14/2020 0:00,5/14/2020 0:00,930,6,Hollywood,645,2,0,X,X,RESTAURANT/FAST FOOD,500,IC,Invest Cont,Property Crimes,1
3700 WILSHIRE BL,34.0617,-118.3075,5/18/2020 0:00,5/16/2020 0:00,2000,20,Olympic,2033,1,0,X,X,HIGH SCHOOL,500,AA,Adult Arrest,Property Crimes,1
4700 MELROSE AV,34.0836,-118.3026,5/18/2020 0:00,5/18/2020 0:00,1630,20,Olympic,2005,2,0,X,X,STREET,400,IC,Invest Cont,Violent Crimes,1
13500 COLLINS ST,34.1739,-118.4269,5/20/2020 0:00,5/20/2020 0:00,400,9,Van Nuys,948,2,57,M,O,SINGLE FAMILY DWELLING,107,AA,Adult Arrest,Crimes against Public Order,1
7200 S BROADWAY,33.9727,-118.285,5/20/2020 0:00,5/20/2020 0:00,2130,12,77th Street,1256,2,0,X,X,OTHER BUSINESS,500,IC,Invest Cont,Property Crimes,1
6TH ST,34.0429,-118.2462,5/20/2020 0:00,5/20/2020 0:00,2350,1,Central,156,1,55,F,B,STREET,106,AA,Adult Arrest,Violent Crimes,1
800 S NORMANDIE AV,34.0561,-118.302,5/20/2020 0:00,5/20/2020 0:00,1400,20,Olympic,2044,2,0,X,X,STREET,400,AA,Adult Arrest,Violent Crimes,1
MEMORY PARK AV,34.2337,-118.463,5/22/2020 0:00,5/22/2020 0:00,1630,19,Mission,1972,2,44,M,X,ALLEY,102,IC,Invest Cont,Crimes against Public Order,1
12000 SATICOY ST,34.2085,-118.3943,5/24/2020 0:00,5/24/2020 0:00,2200,15,N Hollywood,1504,2,0,M,O,PARKING LOT,102,IC,Invest Cont,Crimes against Public Order,1
200 N LOS ANGELES ST,34.0525,-118.2432,5/24/2020 0:00,5/24/2020 0:00,545,1,Central,124,1,0,X,X,SHOPPING MALL (COMMON AREA),500,AA,Adult Arrest,Property Crimes,1
1300 E WASHINGTON BL,34.0241,-118.25,5/25/2020 0:00,5/25/2020 0:00,100,13,Newton,1317,1,0,X,X,MINI-MART,500,AA,Adult Arrest,Property Crimes,1
700 S SERRANO AV,34.0577,-118.3066,5/25/2020 0:00,5/25/2020 0:00,945,20,Olympic,2033,1,0,X,X,STREET,400,AA,Adult Arrest,Property Crimes,1
OXFORD,34.0472,-118.3069,5/25/2020 0:00,5/25/2020 0:00,2355,20,Olympic,2073,2,0,X,X,STREET,102,IC,Invest Cont,Crimes against Public Order,1
1700 SANTEE ST,34.0312,-118.2615,5/26/2020 0:00,5/24/2020 0:00,1900,1,Central,195,1,0,X,X,ALLEY,500,IC,Invest Cont,Property Crimes,1
12900 DRONFIELD AV,34.3048,-118.4333,5/28/2020 0:00,5/27/2020 0:00,1030,19,Mission,1918,1,0,X,X,STREET,109,AA,Adult Arrest,Property Crimes,1
5600 W SUNSET BL,34.0981,-118.3111,5/29/2020 0:00,5/29/2020 0:00,735,6,Hollywood,668,1,0,X,X,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",207,IC,Invest Cont,Property Crimes,1
