Location;Latitude;Longitude;Time_Occurred;Area_ID;Area_Name;Reporting_District_no;Part 1-2;Victim_Age;Victim_Sex;Victim_Descent;Premise_Description;Weapon_Used_Code;Weapon_Description;Status;Status_Description;Crime_Category
700 W OLYMPIC BL;34,0444;-118,2628;105;1;Central;182;2;22;F;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
7900 KESTER AV;34,2147;-118,4565;1530;19;Mission;1994;2;26;F;H;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
CHEROKEE;34,098;-118,3353;2030;6;Hollywood;646;1;38;M;H;STREET;None;None;IC;Invest Cont;Property Crimes
16700 W VENTURA BL;34,1613;-118,4917;1300;10;West Valley;1078;1;0;Unknown;Unknown;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
2700 W 8TH ST;34,0598;-118,2865;2300;20;Olympic;2039;1;0;Unknown;Unknown;HOTEL;None;None;IC;Invest Cont;Property Crimes
6200 KESTER AV;34,1827;-118,4575;1100;9;Van Nuys;933;1;37;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
4000 TRINITY ST;34,0106;-118,2704;2230;13;Newton;1354;2;42;F;H;STREET;None;None;AO;Adult Other;Crimes against Public Order
6000 LASAINE AV;34,179;-118,5105;2130;10;West Valley;1047;1;40;M;H;GARAGE/CARPORT;None;None;AO;Adult Other;Property Crimes
6200 S RIMPAU BL;33,9836;-118,3397;1800;12;77th Street;1231;1;53;M;B;STREET;None;None;IC;Invest Cont;Property Crimes
NORDHOFF;34,2337;-118,463;730;19;Mission;1972;1;31;F;H;STREET;307;VEHICLE;AA;Adult Arrest;Violent Crimes
BALBOA;34,2684;-118,5022;2100;17;Devonshire;1735;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
4200 MURIETTA AV;34,1464;-118,4383;1200;9;Van Nuys;985;2;60;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
13900 POLK ST;34,3238;-118,4387;2215;19;Mission;1904;2;29;M;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
19100 INGOMAR ST;34,212;-118,5492;830;10;West Valley;1001;2;26;F;W;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
400 S OXFORD AV;34,0672;-118,3079;1345;20;Olympic;2023;2;0;X;X;ABANDONED BUILDING ABANDONED HOUSE;None;None;IC;Invest Cont;Crimes against Public Order
23200 GONZALES DR;34,1657;-118,6321;800;21;Topanga;2173;1;13;F;W;MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
11800 JEFFERSON BL;33,9861;-118,4017;1300;14;Pacific;1465;1;0;X;X;OTHER PREMISE;None;None;IC;Invest Cont;Property Crimes
13400 CORNELIUS ST;34,2796;-118,4239;1600;16;Foothill;1611;2;33;M;H;GARAGE/CARPORT;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
NOBLE;34,2329;-118,461;1730;19;Mission;1972;1;0;Unknown;Unknown;STREET;None;None;AA;Adult Arrest;Property Crimes
18700 SUNBURST ST;34,2346;-118,5403;15;17;Devonshire;1785;2;27;F;W;ALLEY;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
1900 GLENDON AV;34,0472;-118,4333;2359;8;West LA;835;1;0;Unknown;Unknown;GARAGE/CARPORT;None;None;AA;Adult Arrest;Property Crimes
10100 BARTEE AV;34,2537;-118,4355;2055;19;Mission;1959;2;15;M;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
25TH ST;34,0147;-118,2445;140;13;Newton;1327;1;33;M;H;SIDEWALK;102;HAND GUN;AO;Adult Other;Violent Crimes
6700 CEDROS AV;34,1925;-118,4531;2251;9;Van Nuys;923;1;23;M;W;STREET;None;None;IC;Invest Cont;Property Crimes
15700 WOODVALE RD;34,1529;-118,4749;1930;10;West Valley;1089;1;74;F;O;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
11200 COVELLO ST;34,2075;-118,3769;1330;15;N Hollywood;1506;2;29;F;H;BANK;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
7800 CLYBOURN AV;34,2121;-118,3638;420;16;Foothill;1698;1;63;M;H;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
600 E 87TH ST;33,9593;-118,2651;1500;18;Southeast;1804;2;22;M;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
SHERMAN WY;34,2013;-118,4574;1600;9;Van Nuys;904;1;78;F;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
7600 VINELAND AV;34,2084;-118,3703;1930;16;Foothill;1695;2;0;M;W;SIDEWALK;102;HAND GUN;IC;Invest Cont;Crimes against Public Order
9700 WENDOVER DR;34,1235;-118,429;1600;8;West LA;808;1;41;M;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
6000 VAN NUYS BL;34,1794;-118,4487;2000;9;Van Nuys;943;1;51;F;O;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
12000 STRATHERN ST;34,2157;-118,3948;2330;16;Foothill;1684;1;27;F;B;STREET;None;None;IC;Invest Cont;Property Crimes
LEXINGTON AV;34,0926;-118,3363;1710;6;Hollywood;663;1;31;F;A;SIDEWALK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
1100 E VERNON AV;34,006;-118,2513;126;13;Newton;1346;1;44;M;H;VEHICLE, PASSENGER/TRUCK;506;FIRE;IC;Invest Cont;Property Crimes
ETON;34,2047;-118,5955;1230;21;Topanga;2136;1;34;M;H;SIDEWALK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
11200 LA MAIDA ST;34,1584;-118,3746;1200;15;N Hollywood;1555;1;69;M;W;SHORT-TERM VACATION RENTAL;None;None;IC;Invest Cont;Property Crimes
4300 S WESTERN AV;34,0052;-118,3089;2215;3;Southwest;395;1;36;M;H;SIDEWALK;312;PIPE/METAL PIPE;IC;Invest Cont;Violent Crimes
11800 TEALE ST;33,9856;-118,4007;1200;14;Pacific;1465;2;0;X;X;OTHER PREMISE;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
900 N BROADWAY;34,0615;-118,2412;1220;1;Central;111;1;33;F;W;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
15700 VANOWEN ST;34,1939;-118,4749;830;10;West Valley;1039;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
41ST PL;34,0349;-118,2436;1500;13;Newton;1307;2;52;M;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
40TH PL;34,0101;-118,261;1430;13;Newton;1343;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
2200 COLORADO BL;34,1391;-118,2141;1831;11;Northeast;1115;1;0;X;X;OTHER STORE;None;None;IC;Invest Cont;Property Crimes
3500 MARMION WY;34,0871;-118,2141;1200;11;Northeast;1189;1;33;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Property Crimes
800 MILLMARK GROVE ST;33,7596;-118,2953;800;5;Harbor;521;2;25;M;W;WEBSITE;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
8700 CEDROS AV;34,2265;-118,4565;30;19;Mission;1984;2;60;M;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Crimes against Public Order
17400 RAINBOW RIDGE CI;34,286;-118,5138;1736;17;Devonshire;1715;1;49;M;A;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
600 S VIRGIL AV;34,0637;-118,287;240;20;Olympic;2029;2;27;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
3300 E OLYMPIC BL;34,0191;-118,2083;430;4;Hollenbeck;497;1;22;M;H;RESTAURANT/FAST FOOD;None;None;IC;Invest Cont;Property Crimes
TARLETON ST;34,0245;-118,244;1143;13;Newton;1317;1;48;F;O;STREET;None;None;IC;Invest Cont;Property Crimes
2900 LEEWARD AV;34,0587;-118,2869;930;20;Olympic;2039;2;40;F;W;SINGLE FAMILY DWELLING;None;None;AO;Adult Other;Crimes against Public Order
8600 BALBOA BL;34,2248;-118,5151;850;17;Devonshire;1795;1;34;M;H;STREET;None;None;IC;Invest Cont;Property Crimes
LEIMERT BL;34,0054;-118,3297;1500;3;Southwest;393;1;32;M;B;STREET;None;None;IC;Invest Cont;Property Crimes
5200 KESTER AV;34,1649;-118,4574;1100;9;Van Nuys;952;1;0;Unknown;Unknown;PARKING UNDERGROUND/BUILDING;None;None;IC;Invest Cont;Property Crimes
13900 VANOWEN ST;34,1976;-118,4356;1200;9;Van Nuys;916;1;46;M;B;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
600 N PALOS VERDES ST;33,7478;-118,2817;2100;5;Harbor;558;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
5600 IRVINGTON PL;34,1152;-118,1962;1950;11;Northeast;1118;2;18;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
11400 SANTA MONICA BL;34,0457;-118,4511;1340;8;West LA;853;2;35;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Fraud and White-Collar Crimes
GRIFFITH AV;34,0224;-118,2564;940;13;Newton;1323;2;22;F;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
5900 S HOOVER ST;33,9864;-118,2871;1800;12;77th Street;1239;1;24;F;H;STREET;None;None;IC;Invest Cont;Property Crimes
COMMONWEALTH;34,0667;-118,2857;750;20;Olympic;2029;1;41;F;W;SIDEWALK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Property Crimes
AVENUE 26;34,0845;-118,2232;1205;11;Northeast;1177;2;53;M;H;MTA BUS;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
SAN FERNANDO;34,1149;-118,2459;1455;11;Northeast;1124;2;40;F;B;MTA BUS;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
400 E 109TH ST;33,9374;-118,2681;1130;18;Southeast;1844;1;37;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
11500 AVIATION BL;33,9298;-118,3784;1448;14;Pacific;1499;2;34;M;W;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
8500 FOOTHILL BL;34,2597;-118,3179;1650;16;Foothill;1656;2;34;M;O;SAVINGS & LOAN;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Property Crimes
1200 N MCCADDEN PL;34,0926;-118,3375;5;6;Hollywood;663;1;32;M;W;PARKING UNDERGROUND/BUILDING;None;None;IC;Invest Cont;Property Crimes
107TH ST;33,9393;-118,2608;1830;18;Southeast;1834;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
3600 WATSEKA AV;34,0288;-118,3996;324;14;Pacific;1409;1;23;M;A;STREET;None;None;IC;Invest Cont;Property Crimes
2000 ALLESANDRO ST;34,0916;-118,2577;300;11;Northeast;1173;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
17500 MARGATE ST;34,1677;-118,5142;1800;10;West Valley;1067;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
2000 OUTPOST DR;34,1146;-118,3607;850;6;Hollywood;622;1;36;F;W;STREET;None;None;IC;Invest Cont;Property Crimes
6600 ALCOVE AV;34,1903;-118,4128;1250;15;N Hollywood;1512;2;39;F;W;SINGLE FAMILY DWELLING;511;VERBAL THREAT;AA;Adult Arrest;Crimes against Public Order
TAMPA;34,1758;-118,5535;1220;10;West Valley;1041;2;16;M;W;STREET;None;None;AA;Adult Arrest;Fraud and White-Collar Crimes
11000 HERSHEY ST;34,251;-118,3723;300;16;Foothill;1665;2;28;F;A;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
13900 GILMORE ST;34,1876;-118,4356;1415;9;Van Nuys;926;2;69;M;W;DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE);None;None;IC;Invest Cont;Fraud and White-Collar Crimes
300 S FIGUEROA ST;34,0542;-118,2566;805;1;Central;141;2;47;F;H;HOTEL;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
18000 CALVERT ST;34,1819;-118,5252;1945;10;West Valley;1034;1;49;M;O;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
800 N LA BREA AV;34,0853;-118,3441;1845;7;Wilshire;706;1;41;M;B;DISCOUNT STORE (99 CENT,DOLLAR,ETC.;200;KNIFE WITH BLADE 6INCHES OR LESS;IC;Invest Cont;Property Crimes
100 CATAMARAN ST;33,9781;-118,4644;2300;14;Pacific;1452;2;30;F;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
700 W 81ST ST;33,9655;-118,2838;1900;12;77th Street;1266;1;27;F;B;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
GRAND AV;34,0011;-118,2805;1200;13;Newton;1361;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
HARTFORD AV;34,0573;-118,2634;1840;2;Rampart;248;1;28;M;H;STREET;302;BLUNT INSTRUMENT;IC;Invest Cont;Violent Crimes
1600 VINE ST;34,0987;-118,3337;2300;6;Hollywood;646;1;64;F;O;STREET;None;None;IC;Invest Cont;Property Crimes
3700 LEE ST;34,0219;-118,1923;1000;4;Hollenbeck;479;2;76;F;H;OTHER RESIDENCE;None;None;IC;Invest Cont;Crimes against Public Order
600 S VIRGIL AV;34,0634;-118,2871;1500;20;Olympic;2029;2;25;F;B;GARAGE/CARPORT;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
3700 BALDWIN ST;34,0704;-118,2013;1930;4;Hollenbeck;424;2;5;F;B;SINGLE FAMILY DWELLING;511;VERBAL THREAT;IC;Invest Cont;Crimes against Public Order
13300 WOODBRIDGE ST;34,1475;-118,4225;1000;9;Van Nuys;989;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
700 W 107TH ST;33,9391;-118,2869;1120;18;Southeast;1841;1;58;F;B;STREET;304;CLUB/BAT;IC;Invest Cont;Crimes against Public Order
4700 N MENDOTA AV;34,1179;-118,2129;1505;11;Northeast;1136;2;39;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Fraud and White-Collar Crimes
ROSCOE;34,2442;-118,5362;600;17;Devonshire;1767;2;29;F;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
1600 ARLINGTON AV;34,0436;-118,3177;200;20;Olympic;2081;2;25;M;B;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
800 S BERENDO ST;34,0578;-118,2941;345;20;Olympic;2046;1;45;M;H;ALLEY;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
1400 E 53RD ST;33,9994;-118,2499;1300;13;Newton;1365;1;35;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
1100 W 2ND ST;34,0609;-118,2535;814;2;Rampart;239;2;0;M;W;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
3100 WILSHIRE BL;34,0618;-118,2894;915;20;Olympic;2038;2;27;M;A;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
800 W 3RD ST;33,7415;-118,295;2200;5;Harbor;557;2;63;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
2800 CANYON DR;34,1227;-118,3181;800;6;Hollywood;627;1;26;M;W;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
600 E 83RD ST;33,9638;-118,2651;200;12;77th Street;1269;1;33;M;H;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
5400 HOLLYWOOD BL;34,1036;-118,3049;1700;6;Hollywood;639;1;0;X;X;RESTAURANT/FAST FOOD;None;None;IC;Invest Cont;Property Crimes
9000 BARTEE AV;34,2341;-118,4153;1910;19;Mission;1979;2;28;F;H;STREET;None;None;IC;Invest Cont;Property Crimes
HAMILTON;34,1909;-118,3654;2325;15;N Hollywood;1519;1;57;M;W;STREET;312;PIPE/METAL PIPE;AO;Adult Other;Violent Crimes
LA SALLE AV;34,0291;-118,3054;1000;3;Southwest;326;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
PARTHENIA;34,2283;-118,4611;715;19;Mission;1983;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
500 E 89TH ST;33,9556;-118,2665;2125;18;Southeast;1805;2;35;M;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
12400 FILMORE ST;34,2858;-118,4024;2015;16;Foothill;1602;1;37;M;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
18100 KILLION ST;34,1708;-118,5273;1900;10;West Valley;1075;1;35;F;A;STREET;None;None;IC;Invest Cont;Property Crimes
3100 S NORMANDIE AV;34,0262;-118,3002;215;3;Southwest;337;1;19;X;X;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
17TH;33,7288;-118,299;1;5;Harbor;563;2;31;F;H;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
500 W 61ST ST;33,9842;-118,2827;1745;12;77th Street;1239;1;24;M;H;STREET;109;SEMI-AUTOMATIC PISTOL;IC;Invest Cont;Property Crimes
E 24TH ST;34,0206;-118,2541;2100;13;Newton;1323;2;55;F;B;BUS STOP;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
11100 CANTARA ST;34,2193;-118,3731;1845;16;Foothill;1687;1;39;M;H;SINGLE FAMILY DWELLING;306;ROCK/THROWN OBJECT;IC;Invest Cont;Violent Crimes
1600 STAUNTON AV;34,0228;-118,2414;430;13;Newton;1317;1;0;X;X;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
1600 GRIFFITH PARK BL;34,091;-118,2775;1000;11;Northeast;1171;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
1600 N MANDEVILLE CANYON RD;34,0949;-118,5111;1040;8;West LA;803;2;55;F;W;DRIVEWAY;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
400 S PACIFIC AV;33,7412;-118,2924;800;5;Harbor;557;2;25;F;H;MOTEL;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
6400 FOOTHILL BL;34,2434;-118,2708;700;16;Foothill;1669;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
14300 CHATSWORTH DR;34,2738;-118,4488;1300;19;Mission;1944;2;39;M;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
1000 E WASHINGTON BL;34,0259;-118,2535;1800;13;Newton;1313;1;46;M;H;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
3300 S MAIN ST;34,0194;-118,2722;1715;13;Newton;1331;2;32;F;H;PORCH, RESIDENTIAL;None;None;IC;Invest Cont;Crimes against Public Order
4900 W 20TH ST;34,0391;-118,3464;358;7;Wilshire;784;2;29;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
200 S SPRING ST;34,0517;-118,2456;1800;1;Central;135;2;0;X;X;COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.);None;None;IC;Invest Cont;Property Crimes
PARK;34,0757;-118,2605;2030;2;Rampart;218;1;39;M;O;PARK/PLAYGROUND;215;MACHETE;IC;Invest Cont;Crimes against Public Order
11100 CANTLAY ST;34,2021;-118,3725;2240;15;N Hollywood;1506;2;29;M;H;VEHICLE, PASSENGER/TRUCK;None;None;AA;Adult Arrest;Property Crimes
8300 RESEDA BL;34,2207;-118,5361;1700;17;Devonshire;1794;1;54;F;O;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
2200 BELLEVUE AV;34,0736;-118,2682;930;2;Rampart;216;2;38;M;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
8900 CAYUGA AV;34,2309;-118,3925;400;16;Foothill;1672;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
6700 N LANKERSHIM BL;34,1921;-118,3877;1700;15;N Hollywood;1516;1;0;M;O;LIQUOR STORE;None;None;IC;Invest Cont;Property Crimes
300 HOLT AV;34,0736;-118,3785;1707;7;Wilshire;721;2;52;M;O;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
3000 BRIGHTON AV;34,0274;-118,3015;1300;3;Southwest;337;2;50;M;B;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Crimes against Public Order
4300 S FIGUEROA ST;34,0054;-118,2827;1440;3;Southwest;399;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
8500 ALCOTT ST;34,0524;-118,3762;1430;8;West LA;859;1;40;M;O;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
11900 NEENACH ST;34,2277;-118,3934;1500;16;Foothill;1682;2;51;M;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Crimes against Public Order
73RD ST;33,9739;-118,2696;1715;12;77th Street;1258;2;57;M;B;SIDEWALK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
1900 E 102ND ST;33,9443;-118,239;1225;18;Southeast;1827;2;0;X;X;ELEMENTARY SCHOOL;None;None;IC;Invest Cont;Property Crimes
1800 ARGYLE AV;34,1037;-118,3252;1520;6;Hollywood;637;2;0;X;X;UNDERPASS/BRIDGE*;None;None;IC;Invest Cont;Crimes against Public Order
12700 MILLENNIUM DR;33,9754;-118,4178;1200;14;Pacific;1464;1;58;M;W;STORAGE SHED;None;None;IC;Invest Cont;Property Crimes
600 W FLORENCE AV;33,979;-118,2839;1900;12;77th Street;1249;1;52;M;H;MINI-MART;None;None;AO;Adult Other;Property Crimes
