Location,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Victim_Age,Victim_Sex,Victim_Descent,Premise_Description,Weapon_Used_Code,Status,Status_Description,Crime_Category
9400 OBECK AV,34.2409,-118.4329,1/1/2020 0:00,1/1/2020 0:00,510,19,Mission,1967,1,28,F,H,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
1500 W OLYMPIC BL,34.0484,-118.2724,1/1/2020 0:00,1/1/2020 0:00,2150,2,Rampart,279,2,14,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,IC,Invest Cont,Crimes against Public Order
300 W 91ST PL,33.9536,-118.2782,1/1/2020 0:00,1/1/2020 0:00,140,18,Southeast,1802,2,34,M,H,SINGLE FAMILY DWELLING,400,IC,Invest Cont,Violent Crimes
1700 N GOWER ST,34.1017,-118.3224,1/1/2020 0:00,1/1/2020 0:00,330,6,Hollywood,637,1,27,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",204,AA,Adult Arrest,Violent Crimes
1200 VINE ST,34.0926,-118.3266,1/1/2020 0:00,1/1/2020 0:00,1840,6,Hollywood,666,1,0,X,X,MINI-MART,400,IC,Invest Cont,Property Crimes
42ND,34.0074,-118.2794,1/1/2020 0:00,1/1/2020 0:00,1745,13,Newton,1351,2,56,M,B,SIDEWALK,400,IC,Invest Cont,Violent Crimes
1000 E 84TH PL,33.962,-118.2575,1/1/2020 0:00,1/1/2020 0:00,200,12,77th Street,1269,1,31,M,H,SINGLE FAMILY DWELLING,400,IC,Invest Cont,Property Crimes
900 N SERRANO AV,34.0863,-118.3064,1/1/2020 0:00,1/1/2020 0:00,355,6,Hollywood,678,2,31,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Violent Crimes
6TH ST,34.0463,-118.2515,1/1/2020 0:00,1/1/2020 0:00,245,1,Central,153,1,44,M,B,SIDEWALK,400,IC,Invest Cont,Property Crimes
2200 DUANE ST,34.0902,-118.2597,1/1/2020 0:00,1/1/2020 0:00,1420,11,Northeast,1172,2,26,M,H,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
7500 FOUNTAIN AV,34.0962,-118.349,1/1/2020 0:00,1/1/2020 0:00,240,6,Hollywood,644,2,38,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,AA,Adult Arrest,Crimes against Public Order
4100 ZAMORA ST,34.0093,-118.2529,1/1/2020 0:00,1/1/2020 0:00,1420,13,Newton,1345,2,33,M,H,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
9900 S MAIN ST,33.9465,-118.2739,1/1/2020 0:00,1/1/2020 0:00,115,18,Southeast,1822,2,38,M,H,"VEHICLE, PASSENGER/TRUCK",400,AO,Adult Other,Violent Crimes
18700 NORDHOFF ST,34.2355,-118.5404,1/1/2020 0:00,1/1/2020 0:00,20,17,Devonshire,1785,2,17,M,H,ALLEY,400,AO,Adult Other,Violent Crimes
9400 SHARP AV,34.2405,-118.4186,1/1/2020 0:00,1/1/2020 0:00,1500,19,Mission,1969,2,60,F,H,STREET,400,AO,Adult Other,Violent Crimes
COLDWATER CA,34.1849,-118.4095,1/1/2020 0:00,1/1/2020 0:00,226,15,N Hollywood,1523,1,30,M,W,STREET,400,AO,Adult Other,Violent Crimes
SHELDON ST,34.232,-118.4037,1/1/2020 0:00,1/1/2020 0:00,2110,16,Foothill,1663,2,33,F,W,PARKING LOT,400,AA,Adult Arrest,Violent Crimes
WOODLEY,34.1867,-118.4836,1/1/2020 0:00,1/1/2020 0:00,1500,10,West Valley,1049,1,36,M,H,PARK/PLAYGROUND,400,AO,Adult Other,Property Crimes
6900 COLDWATER CANYON AV,34.1958,-118.4138,1/1/2020 0:00,1/1/2020 0:00,5,15,N Hollywood,1512,2,46,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Violent Crimes
400 E 81ST ST,33.9656,-118.2673,1/1/2020 0:00,1/1/2020 0:00,400,12,77th Street,1269,2,36,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Violent Crimes
3700 STEPHEN M WHITE DR,33.7105,-118.286,1/1/2020 0:00,1/1/2020 0:00,1250,5,Harbor,589,2,52,F,W,BEACH,400,IC,Invest Cont,Violent Crimes
3700 MENTONE AV,34.0222,-118.4068,1/1/2020 0:00,1/1/2020 0:00,730,14,Pacific,1406,2,0,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",212,IC,Invest Cont,Violent Crimes
1800 W SLAUSON AV,33.9921,-118.3108,1/1/2020 0:00,1/1/2020 0:00,215,12,77th Street,1213,1,19,M,H,PARKING LOT,400,IC,Invest Cont,Violent Crimes
1300 SANBORN AV,34.0958,-118.2787,1/1/2021 0:00,12/29/2020 0:00,830,11,Northeast,1143,2,33,M,W,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
400 E 5TH ST,34.0453,-118.2443,1/1/2021 0:00,12/31/2020 0:00,1600,1,Central,147,1,19,F,H,ABANDONED BUILDING ABANDONED HOUSE,109,AO,Adult Other,Violent Crimes
6600 W SUNSET BL,34.098,-118.3335,1/1/2021 0:00,12/31/2020 0:00,1815,6,Hollywood,646,1,23,M,W,GARAGE/CARPORT,400,IC,Invest Cont,Property Crimes
800 S FLOWER ST,34.0473,-118.2601,1/2/2020 0:00,1/1/2020 0:00,230,1,Central,162,1,31,M,O,SIDEWALK,512,AO,Adult Other,Violent Crimes
800 W 83RD ST,33.9636,-118.2877,1/2/2020 0:00,1/1/2020 0:00,700,12,77th Street,1267,2,15,F,H,SINGLE FAMILY DWELLING,400,AA,Adult Arrest,Crimes against Persons
400 E WASHINGTON BL,34.0289,-118.2602,1/2/2020 0:00,1/2/2020 0:00,1525,13,Newton,1313,2,65,M,H,RESTAURANT/FAST FOOD,400,IC,Invest Cont,Violent Crimes
600 S CENTRAL AV,34.039,-118.24,1/2/2020 0:00,1/2/2020 0:00,2000,1,Central,158,1,50,M,B,STREET,307,AA,Adult Arrest,Violent Crimes
5900 HOLLYWOOD BL,34.103,-118.3225,1/2/2020 0:00,1/2/2020 0:00,1507,6,Hollywood,637,1,22,M,H,TRANSITIONAL HOUSING/HALFWAY HOUSE,200,AO,Adult Other,Violent Crimes
02900 S LA BREA AV,34.0288,-118.3526,1/2/2020 0:00,1/2/2020 0:00,1420,3,Southwest,331,1,0,X,X,LIBRARY,506,IC,Invest Cont,Property Crimes
500 W IMPERIAL HY,33.931,-118.2826,1/2/2020 0:00,1/2/2020 0:00,730,18,Southeast,1861,2,39,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Violent Crimes
8900 COLUMBUS AV,34.2319,-118.4654,1/2/2020 0:00,1/2/2020 0:00,30,19,Mission,1972,2,52,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Violent Crimes
NORMANDIE AV,33.9884,-118.3002,1/2/2020 0:00,1/2/2020 0:00,1300,12,77th Street,1235,1,42,F,H,STREET,400,IC,Invest Cont,Property Crimes
49TH ST,33.9987,-118.2959,1/2/2020 0:00,1/2/2020 0:00,1300,12,77th Street,1205,1,36,M,H,STREET,400,IC,Invest Cont,Violent Crimes
14300 HARTSOOK ST,34.164,-118.4444,1/2/2020 0:00,1/2/2020 0:00,1400,9,Van Nuys,964,1,35,M,W,CONDOMINIUM/TOWNHOUSE,207,IC,Invest Cont,Crimes against Public Order
2900 JAMES M WOOD BL,34.056,-118.2916,1/2/2020 0:00,1/2/2020 0:00,1830,20,Olympic,2046,2,41,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AO,Adult Other,Violent Crimes
VENICE BL,34.0436,-118.309,1/2/2020 0:00,1/2/2020 0:00,755,20,Olympic,2071,2,56,M,H,MTA BUS,400,IC,Invest Cont,Violent Crimes
600 W 17TH ST,33.7288,-118.2902,1/2/2020 0:00,1/2/2020 0:00,1745,5,Harbor,563,2,24,M,W,SINGLE FAMILY DWELLING,400,IC,Invest Cont,Violent Crimes
SEPULVEDA,34.1721,-118.4662,1/2/2020 0:00,1/2/2020 0:00,320,9,Van Nuys,941,1,33,F,O,STREET,215,IC,Invest Cont,Crimes against Public Order
2600 BUTLER AV,34.0291,-118.4378,1/2/2021 0:00,12/23/2020 0:00,1400,14,Pacific,1402,1,78,F,W,SINGLE FAMILY DWELLING,500,IC,Invest Cont,Property Crimes
7300 FOOTHILL BL,34.253,-118.2907,1/2/2021 0:00,12/28/2020 0:00,1600,16,Foothill,1657,2,69,M,W,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",400,AO,Adult Other,Violent Crimes
I ST,33.7837,-118.2233,1/2/2021 0:00,12/28/2020 0:00,1800,5,Harbor,529,2,48,F,W,STREET,400,AO,Adult Other,Violent Crimes
700 BROOKS AV,33.9968,-118.4663,1/2/2021 0:00,12/30/2020 0:00,1200,14,Pacific,1414,1,30,M,W,SINGLE FAMILY DWELLING,500,IC,Invest Cont,Property Crimes
9500 GRAPE ST,33.9482,-118.2363,1/2/2021 0:00,12/31/2020 0:00,1500,18,Southeast,1827,2,62,F,H,DRIVEWAY,106,IC,Invest Cont,Property Crimes
700 W 38TH ST,33.7096,-118.2916,1/3/2020 0:00,1/1/2020 0:00,1330,5,Harbor,587,2,56,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Violent Crimes
11400 CHANDLER BL,34.1681,-118.379,1/3/2020 0:00,1/2/2020 0:00,1235,15,N Hollywood,1547,2,22,F,H,PARK/PLAYGROUND,400,IC,Invest Cont,Violent Crimes
4600 KESTER AV,34.1546,-118.4574,1/3/2020 0:00,1/2/2020 0:00,2200,9,Van Nuys,974,1,29,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Violent Crimes
12400 KILLION ST,34.1712,-118.4031,1/3/2020 0:00,1/3/2020 0:00,1200,15,N Hollywood,1543,2,71,F,H,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
11100 AVALON BL,33.9348,-118.2652,1/3/2020 0:00,1/3/2020 0:00,1200,18,Southeast,1844,1,57,M,H,YARD (RESIDENTIAL/BUSINESS),400,IC,Invest Cont,Property Crimes
1300 E 7TH ST,34.0368,-118.2412,1/3/2020 0:00,1/3/2020 0:00,740,13,Newton,1307,2,59,M,A,PARKING LOT,400,IC,Invest Cont,Violent Crimes
19600 PLUMMER ST,34.2428,-118.5601,1/3/2020 0:00,1/3/2020 0:00,1445,17,Devonshire,1764,1,0,X,X,SHOPPING MALL (COMMON AREA),500,IC,Invest Cont,Property Crimes
17100 ROSCOE BL,34.2214,-118.5055,1/3/2020 0:00,1/3/2020 0:00,645,17,Devonshire,1795,1,20,F,W,PARKING LOT,307,AO,Adult Other,Violent Crimes
7900 LOMA VERDE AV,34.2136,-118.5896,1/3/2020 0:00,1/3/2020 0:00,1900,21,Topanga,2126,1,36,M,H,SINGLE FAMILY DWELLING,400,IC,Invest Cont,Crimes against Public Order
8200 SUNLAND BL,34.2195,-118.3687,1/3/2020 0:00,1/3/2020 0:00,1200,16,Foothill,1689,2,33,M,W,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",400,AA,Adult Arrest,Violent Crimes
600 S SAN PEDRO ST,34.0421,-118.2469,1/3/2020 0:00,1/3/2020 0:00,1200,1,Central,166,1,51,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",215,IC,Invest Cont,Crimes against Public Order
12500 VENICE BL,33.9978,-118.4456,1/3/2020 0:00,1/3/2020 0:00,30,14,Pacific,1434,1,0,X,X,LIQUOR STORE,106,AO,Adult Other,Property Crimes
13800 SHERMAN WY,34.205,-118.4339,1/3/2020 0:00,1/3/2020 0:00,5,9,Van Nuys,909,2,0,X,X,SIDEWALK,500,IC,Invest Cont,Property Crimes
6300 S FIGUEROA ST,33.982,-118.2827,1/3/2020 0:00,1/3/2020 0:00,1420,12,77th Street,1249,1,64,M,W,MOTEL,400,AO,Adult Other,Property Crimes
1400 ABBOT KINNEY BL,33.9906,-118.4657,1/3/2021 0:00,12/31/2020 0:00,1800,14,Pacific,1431,1,0,X,X,GARAGE/CARPORT,500,IC,Invest Cont,Property Crimes
4400 N SEPULVEDA BL,34.15,-118.4674,1/4/2020 0:00,1/3/2020 0:00,2100,9,Van Nuys,981,1,43,M,W,PARKING UNDERGROUND/BUILDING,500,IC,Invest Cont,Property Crimes
VERMONT,34.0982,-118.2918,1/4/2020 0:00,1/3/2020 0:00,2115,11,Northeast,1151,1,36,F,W,SIDEWALK,511,IC,Invest Cont,Property Crimes
1800 E 1ST ST,34.0472,-118.2198,1/4/2020 0:00,1/3/2020 0:00,1100,4,Hollenbeck,454,2,21,F,H,BAR/COCKTAIL/NIGHTCLUB,400,IC,Invest Cont,Violent Crimes
2000 S SHENANDOAH ST,34.0418,-118.3848,1/4/2020 0:00,1/4/2020 0:00,200,8,West LA,889,2,44,F,B,SINGLE FAMILY DWELLING,400,IC,Invest Cont,Violent Crimes
1500 W 8TH ST,34.0511,-118.2707,1/4/2020 0:00,1/4/2020 0:00,1130,2,Rampart,269,1,13,F,H,SINGLE FAMILY DWELLING,112,AO,Adult Other,Property Crimes
WESTERN AV,34.0256,-118.3089,1/4/2020 0:00,1/4/2020 0:00,130,3,Southwest,336,1,45,M,H,PARKING LOT,500,IC,Invest Cont,Property Crimes
WILSHIRE BL,34.0617,-118.3166,1/4/2020 0:00,1/4/2020 0:00,130,20,Olympic,2031,1,24,M,W,SIDEWALK,114,AA,Adult Arrest,Property Crimes
MUIRFIELD ST,34.0569,-118.338,1/4/2020 0:00,1/4/2020 0:00,1430,7,Wilshire,747,1,63,M,H,STREET,212,AO,Adult Other,Violent Crimes
1500 WESTWOOD BL,34.0541,-118.4407,1/4/2020 0:00,1/4/2020 0:00,1100,8,West LA,855,1,55,M,W,STREET,200,IC,Invest Cont,Crimes against Public Order
6TH ST,34.0552,-118.2648,1/4/2020 0:00,1/4/2020 0:00,1340,2,Rampart,248,2,30,M,W,BUS STOP,400,IC,Invest Cont,Violent Crimes
3900 HUBERT AV,34.0142,-118.3281,1/4/2020 0:00,1/4/2020 0:00,2320,3,Southwest,373,1,63,F,W,SINGLE FAMILY DWELLING,400,AA,Adult Arrest,Violent Crimes
MANCHESTER,33.9602,-118.2651,1/4/2020 0:00,1/4/2020 0:00,1540,18,Southeast,1804,2,18,M,H,SIDEWALK,400,IC,Invest Cont,Violent Crimes
3800 WELLAND AV,34.0173,-118.3261,1/4/2020 0:00,1/4/2020 0:00,147,3,Southwest,374,1,20,F,B,STREET,400,IC,Invest Cont,Property Crimes
10600 LAUREL CANYON BL,34.2625,-118.4361,1/4/2020 0:00,1/4/2020 0:00,1730,16,Foothill,1621,2,30,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",207,AO,Adult Other,Crimes against Public Order
800 E 79TH ST,33.9675,-118.2608,1/4/2020 0:00,1/4/2020 0:00,420,12,77th Street,1269,1,43,M,H,YARD (RESIDENTIAL/BUSINESS),207,IC,Invest Cont,Crimes against Public Order
9700 S SAN PEDRO ST,33.9483,-118.2695,1/4/2020 0:00,1/4/2020 0:00,1140,18,Southeast,1823,2,20,F,B,STREET,400,IC,Invest Cont,Violent Crimes
BEAUDRY,34.064,-118.2505,1/4/2020 0:00,1/4/2020 0:00,2110,2,Rampart,219,2,55,M,B,STREET,400,IC,Invest Cont,Violent Crimes
4300 S VERMONT AV,34.0073,-118.298,1/4/2020 0:00,1/4/2020 0:00,1310,3,Southwest,397,1,35,F,H,STREET,400,IC,Invest Cont,Property Crimes
2100 OAK ST,34.0347,-118.2792,1/4/2020 0:00,1/4/2020 0:00,1000,3,Southwest,308,2,23,F,A,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,AO,Adult Other,Violent Crimes
2400 W PICO BL,34.0473,-118.2891,1/4/2020 0:00,1/4/2020 0:00,1200,20,Olympic,2079,2,29,F,H,LAUNDROMAT,500,IC,Invest Cont,Violent Crimes
VANOWEN ST,34.1935,-118.6425,1/4/2020 0:00,1/4/2020 0:00,1120,21,Topanga,2141,2,35,F,H,STREET,400,AO,Adult Other,Violent Crimes
9800 S CENTRAL AV,33.9474,-118.2541,1/4/2020 0:00,1/4/2020 0:00,540,18,Southeast,1824,2,0,M,X,SIDEWALK,511,IC,Invest Cont,Other Crimes
1200 LODI PL,34.0926,-118.3234,1/4/2021 0:00,1/3/2020 0:00,200,6,Hollywood,666,1,42,F,B,MISSIONS/SHELTERS,500,IC,Invest Cont,Violent Crimes
10600 OXNARD ST,34.1829,-118.365,1/4/2021 0:00,12/21/2020 0:00,2200,15,N Hollywood,1529,2,24,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Violent Crimes
700 W COLLEGE ST,34.0653,-118.2412,1/4/2022 0:00,11/10/2020 0:00,1530,1,Central,111,2,41,F,B,OTHER BUSINESS,400,AO,Adult Other,Violent Crimes
26300 OZONE AV,33.7837,-118.3079,1/5/2020 0:00,1/3/2020 0:00,1230,5,Harbor,512,1,47,M,W,SINGLE FAMILY DWELLING,102,IC,Invest Cont,Violent Crimes
1400 HARRIDGE DR,34.0961,-118.4191,1/5/2020 0:00,1/4/2020 0:00,2300,8,West LA,808,1,21,M,W,SINGLE FAMILY DWELLING,511,IC,Invest Cont,Property Crimes
1400 W 209TH ST,33.84,-118.3017,1/5/2020 0:00,1/4/2020 0:00,2130,5,Harbor,504,2,45,F,H,SINGLE FAMILY DWELLING,400,IC,Invest Cont,Violent Crimes
11100 BURBANK BL,34.1758,-118.3746,1/5/2020 0:00,1/4/2020 0:00,1445,15,N Hollywood,1538,1,29,M,B,PARKING LOT,106,IC,Invest Cont,Property Crimes
6600 LANKERSHIM BL,34.1903,-118.3877,1/5/2020 0:00,1/4/2020 0:00,2130,15,N Hollywood,1516,2,0,M,O,SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB,400,AA,Adult Arrest,Property Crimes
9000 S BROADWAY,33.955,-118.2782,1/5/2020 0:00,1/5/2020 0:00,2110,18,Southeast,1802,1,26,F,H,SINGLE FAMILY DWELLING,500,IC,Invest Cont,Property Crimes
7200 S BROADWAY,33.9747,-118.2783,1/5/2020 0:00,1/5/2020 0:00,1400,12,77th Street,1258,2,27,F,H,CHECK CASHING*,400,IC,Invest Cont,Violent Crimes
VANOWEN,34.1937,-118.6272,1/5/2020 0:00,1/5/2020 0:00,2045,21,Topanga,2143,1,29,M,B,PARKING LOT,200,IC,Invest Cont,Violent Crimes
800 N ALAMEDA ST,34.0563,-118.2374,1/5/2020 0:00,1/5/2020 0:00,2130,1,Central,119,1,0,X,X,LA UNION STATION (NOT LINE SPECIFIC),400,AA,Adult Arrest,Property Crimes
THATCHER,33.9876,-118.4489,1/5/2020 0:00,1/5/2020 0:00,2020,14,Pacific,1444,2,22,F,W,ALLEY,400,IC,Invest Cont,Violent Crimes
KESTER,34.1721,-118.4574,1/5/2020 0:00,1/5/2020 0:00,1930,9,Van Nuys,941,2,0,M,X,PARKING LOT,109,IC,Invest Cont,Crimes against Public Order
11400 S VERMONT AV,33.931,-118.2916,1/5/2020 0:00,1/5/2020 0:00,2120,18,Southeast,1861,1,0,X,X,MEDICAL MARIJUANA FACILITIES/BUSINESSES,109,AA,Adult Arrest,Property Crimes
900 N BROADWAY,34.064,-118.2375,1/5/2020 0:00,1/5/2020 0:00,1010,1,Central,118,2,28,M,H,SIDEWALK,400,IC,Invest Cont,Violent Crimes
3600 CRENSHAW BL,34.0241,-118.3351,1/5/2020 0:00,1/5/2020 0:00,1320,3,Southwest,334,2,49,M,B,PARKING LOT,400,IC,Invest Cont,Violent Crimes
3RD ST,34.069,-118.3004,1/5/2020 0:00,1/5/2020 0:00,1930,20,Olympic,2016,2,53,M,W,STREET,400,IC,Invest Cont,Violent Crimes
6700 N SEPULVEDA BL,34.1921,-118.4662,1/5/2020 0:00,1/5/2020 0:00,915,9,Van Nuys,923,1,36,F,H,NURSING/CONVALESCENT/RETIREMENT HOME,400,AA,Adult Arrest,Violent Crimes
84TH ST,33.9627,-118.3068,1/5/2020 0:00,1/5/2020 0:00,150,12,77th Street,1263,1,37,M,H,STREET,500,IC,Invest Cont,Property Crimes
3500 MARMION WY,34.0871,-118.2142,1/5/2020 0:00,1/5/2020 0:00,5,11,Northeast,1189,2,5,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AO,Adult Other,Crimes against Persons
300 S RENO ST,34.0682,-118.2833,1/5/2020 0:00,1/5/2020 0:00,25,2,Rampart,241,2,25,M,H,STREET,400,AO,Adult Other,Violent Crimes
5300 2ND AV,33.9951,-118.3193,1/5/2020 0:00,1/5/2020 0:00,1420,12,77th Street,1211,2,42,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Violent Crimes
21200 SATICOY ST,34.2136,-118.5912,1/5/2020 0:00,1/5/2020 0:00,1100,21,Topanga,2126,1,44,M,H,PARKING LOT,304,IC,Invest Cont,Violent Crimes
VENICE BL,34.0375,-118.3742,1/5/2020 0:00,1/5/2020 0:00,1430,7,Wilshire,782,2,34,F,H,STREET,400,IC,Invest Cont,Violent Crimes
MELROSE,34.0835,-118.3288,1/5/2020 0:00,1/5/2020 0:00,410,6,Hollywood,676,1,29,F,H,STREET,400,IC,Invest Cont,Violent Crimes
41ST,34.0092,-118.2692,1/5/2020 0:00,1/5/2020 0:00,200,13,Newton,1343,1,45,M,H,PARK/PLAYGROUND,109,IC,Invest Cont,Property Crimes
VERMONT AV,33.96,-118.2919,1/5/2020 0:00,1/5/2020 0:00,700,12,77th Street,1265,1,60,F,H,SIDEWALK,205,AO,Adult Other,Property Crimes
1400 W 10TH PL,34.0474,-118.2714,1/5/2020 0:00,1/5/2020 0:00,700,2,Rampart,279,1,40,M,H,STREET,307,AO,Adult Other,Violent Crimes
14200 FRIAR ST,34.1857,-118.4422,1/5/2020 0:00,1/5/2020 0:00,1730,9,Van Nuys,935,2,57,M,H,SINGLE FAMILY DWELLING,500,AA,Adult Arrest,Property Crimes
1700 N ORANGE DR,34.1015,-118.3417,1/5/2021 0:00,12/29/2020 0:00,610,6,Hollywood,645,2,36,M,W,MAIL BOX,500,IC,Invest Cont,Property Crimes
12100 VICTORY BL,34.1867,-118.3965,1/6/2020 0:00,1/4/2020 0:00,1805,15,N Hollywood,1524,1,14,M,H,PARKING LOT,511,AA,Adult Arrest,Property Crimes
10200 AVALON BL,33.947,-118.2684,1/6/2020 0:00,1/5/2020 0:00,1800,18,Southeast,1823,2,20,F,H,OTHER BUSINESS,500,IC,Invest Cont,Violent Crimes
CAMULOS,34.0257,-118.2139,1/6/2020 0:00,1/5/2020 0:00,2355,4,Hollenbeck,487,1,25,M,H,STREET,102,IC,Invest Cont,Property Crimes
10900 WHIPPLE ST,34.1481,-118.3673,1/6/2020 0:00,1/5/2020 0:00,1435,15,N Hollywood,1566,2,48,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Violent Crimes
300 N ARDMORE AV,34.0763,-118.3023,1/6/2020 0:00,1/5/2020 0:00,2030,20,Olympic,2005,1,44,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Violent Crimes
600 E 87TH ST,33.9593,-118.2651,1/6/2020 0:00,1/6/2020 0:00,1500,18,Southeast,1804,2,22,M,H,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
200 E AVENUE 26,34.0765,-118.2144,1/6/2020 0:00,1/6/2020 0:00,1755,4,Hollenbeck,415,1,43,M,A,STREET,500,AO,Adult Other,Violent Crimes
41ST PL,34.0082,-118.2652,1/6/2020 0:00,1/6/2020 0:00,1,13,Newton,1344,1,32,M,H,STREET,104,IC,Invest Cont,Crimes against Persons
9800 ETIWANDA AV,34.2482,-118.5317,1/6/2020 0:00,1/6/2020 0:00,10,17,Devonshire,1767,2,54,M,H,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
8900 NEVADA AV,34.232,-118.608,1/6/2020 0:00,1/6/2020 0:00,1140,21,Topanga,2103,2,44,M,W,SINGLE FAMILY DWELLING,511,AO,Adult Other,Crimes against Public Order
18800 VENTURA BL,34.1715,-118.5428,1/6/2020 0:00,1/6/2020 0:00,1245,10,West Valley,1063,2,65,M,H,BANK,511,IC,Invest Cont,Fraud and White-Collar Crimes
